address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
362 BURLWOOD Ave,Oakland  CA 94603,3,1.0,1005,1942,37.734185,-122.187022,http://www.redfin.com/CA/Oakland/362-Burlwood-Ave-94603/home/1607990,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24802636,http://www.zillow.com/homedetails/362-Burlwood-Ave-Oakland-CA-94603/24802636_zpid/,http://www.zillow.com/homedetails/362-Burlwood-Ave-Oakland-CA-94603/24802636_zpid/#charts-and-data,http://www.zillow.com/homes/24802636_zpid/,http://www.zillow.com/homes/comps/24802636_zpid/,24802636,292985,03/13/2016,2200,03/14/2016,0
9623 Empire Rd,Oakland  CA 94603,3,1.0,1000,1955,37.732291,-122.194486,,,http://www.zillow.com/homedetails/9623-Empire-Rd-Oakland-CA-94603/24801518_zpid/,http://www.zillow.com/homedetails/9623-Empire-Rd-Oakland-CA-94603/24801518_zpid/#charts-and-data,http://www.zillow.com/homes/24801518_zpid/,http://www.zillow.com/homes/comps/24801518_zpid/,24801518,218992,03/13/2016,,,0.428339669708,261000,12/24/2015,3.0
264 Sextus Rd,Oakland  CA 94603,3,1.0,1069,1943,37.73299,-122.193201,,,http://www.zillow.com/homedetails/264-Sextus-Rd-Oakland-CA-94603/24801416_zpid/,http://www.zillow.com/homedetails/264-Sextus-Rd-Oakland-CA-94603/24801416_zpid/#charts-and-data,http://www.zillow.com/homes/24801416_zpid/,http://www.zillow.com/homes/comps/24801416_zpid/,24801416,238455,03/13/2016,,,0.347590209156,250000,01/19/2016,3.0
223 Wistar Rd,Oakland  CA 94603,3,1.0,1013,1943,37.732363,-122.192884,,,http://www.zillow.com/homedetails/223-Wistar-Rd-Oakland-CA-94603/24801475_zpid/,http://www.zillow.com/homedetails/223-Wistar-Rd-Oakland-CA-94603/24801475_zpid/#charts-and-data,http://www.zillow.com/homes/24801475_zpid/,http://www.zillow.com/homes/comps/24801475_zpid/,24801475,265045,03/13/2016,,,0.344170287853,370000,10/27/2015,6.0
principal_arv,mao_light,mao_med,mao_high
293666,160391.2,150341.2,135266.2

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
515 63rd St,Oakland  CA 94609,2,1.0,1152,1912,37.848397,-122.261318,http://www.redfin.com/CA/Oakland/515-63rd-St-94609/home/1267474,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24755772,http://www.zillow.com/homedetails/515-63rd-St-Oakland-CA-94609/24755772_zpid/,http://www.zillow.com/homedetails/515-63rd-St-Oakland-CA-94609/24755772_zpid/#charts-and-data,http://www.zillow.com/homes/24755772_zpid/,http://www.zillow.com/homes/comps/24755772_zpid/,24755772,663549,03/13/2016,3200,03/14/2016,0
6151 Shattuck Ave,Oakland  CA 94609,2,1.0,1088,1923,37.847406,-122.265732,,,http://www.zillow.com/homedetails/6151-Shattuck-Ave-Oakland-CA-94609/24755310_zpid/,http://www.zillow.com/homedetails/6151-Shattuck-Ave-Oakland-CA-94609/24755310_zpid/#charts-and-data,http://www.zillow.com/homes/24755310_zpid/,http://www.zillow.com/homes/comps/24755310_zpid/,24755310,723261,03/13/2016,,,0.250367836526,460000,10/21/2015,6.0
671 61st St,Oakland  CA 94609,3,1.0,1309,1910,37.846093,-122.267467,,,http://www.zillow.com/homedetails/671-61st-St-Oakland-CA-94609/24755254_zpid/,http://www.zillow.com/homedetails/671-61st-St-Oakland-CA-94609/24755254_zpid/#charts-and-data,http://www.zillow.com/homes/24755254_zpid/,http://www.zillow.com/homes/comps/24755254_zpid/,24755254,829314,03/13/2016,,,0.371338588292,875000,12/11/2015,6.0
