"","S","MLS #","Street Address","Price","DOM","Beds Total","Bths","Sq Ft Total","Lot Size","Postal City","Property Sub Type","Age"
"1","S","ML81521577","756 Portswood Drive","$1,350,000","5","4","2|1","2,316","8,625 SqFt","San Jose","Res. Single Family","36"
"1","S","ML81545866","5236 Roxanne Drive","$1,350,000","10","4","2|0","2,019","6,000 SqFt","San Jose","Res. Single Family","47"
"1","S","ML81545975","1563 Wawona Drive","$1,350,000","9","3","2|0","1,723","8,625 SqFt","San Jose","Res. Single Family","59"
"1","S","ML81547587","1570 Carmel Drive","$1,350,000","9","4","3|0","1,887","6,305 SqFt","San Jose","Res. Single Family","51"
"1","S","ML81547617","3643 Kendra Way","$1,350,000","9","4","2|0","1,720","5,998 SqFt","San Jose","Res. Single Family","56"
"1","S","ML81547689","2493 Verwood Drive","$1,350,000","7","3","2|0","1,412","5,959 SqFt","San Jose","Res. Single Family","52"
"1","P","ML81563156","1129 Kotenberg Avenue","$1,350,000","21","4","3|0","2,453","6,458 SqFt","San Jose","Res. Single Family","11"
"1","A","ML81565579","4061 Cranford Circle","$1,350,000","21","4","2|1","2,161","5,998 SqFt","San Jose","Res. Single Family","39"
"1","A","ML81565991","1042 Carolyn Avenue","$1,350,000","19","3","2|0","1,512","5,519 SqFt","San Jose","Res. Single Family","90"
"1","A","ML81533984","10797 Ridgeview Court","$1,349,000","126","5","4|0","4,000","10,168 SqFt","San Jose","Res. Single Family","27"
"1","A","ML81578283","1131 Dwyer Avenue","$1,349,000","4","4","2|0","2,297","9,266 SqFt","San Jose","Res. Single Family","52"
"1","A","ML81566376","4813 Clydelle Avenue","$1,348,000","15","5","3|0","2,327","7,802 SqFt","San Jose","Res. Single Family","60"
"1","S","ML81550763","1464 Redmond Avenue","$1,343,000","9","4","3|0","2,096","9,200 SqFt","San Jose","Res. Single Family","43"
"1","S","ML81519031","1085 Merle Avenue","$1,335,000","8","3","1|1","1,675","5,816 SqFt","San Jose","Res. Single Family","79"
"1","S","ML81520456","4669 Castlewood Drive","$1,330,000","8","4","2|0","1,569","6,000 SqFt","San Jose","Res. Single Family","56"
"1","S","ML81520880","6524 Bose Lane","$1,330,000","7","4","2|1","2,354","8,538 SqFt","San Jose","Res. Single Family","39"
"1","S","ML81550795","5244 Roxanne Drive","$1,330,000","9","4","2|0","2,051","6,000 SqFt","San Jose","Res. Single Family","47"
"1","A","ML81565905","4009 Halkins Drive","$1,328,000","19","4","3|0","2,161","6,090 SqFt","San Jose","Res. Single Family","39"
"1","S","ML81550865","6446 Berwickshire Way","$1,327,000","9","4","2|1","2,651","6,399 SqFt","San Jose","Res. Single Family","44"
"1","S","ML81546323","5437 Greenside Drive","$1,326,000","13","3","3|0","2,391","14,500 SqFt","San Jose","Res. Single Family","42"
"1","S","ML81519994","745 E William Street","$1,325,000","33","3","3|1","2,462","7,613 SqFt","San Jose","Res. Single Family","92"
"1","S","ML81522817","6021 Burchell Court","$1,325,000","11","4","3|0","2,324","8,900 SqFt","San Jose","Res. Single Family","51"
"1","S","ML81549129","5531 Taft Drive","$1,322,500","15","3","2|0","1,332","7,096 SqFt","San Jose","Res. Single Family","56"
"1","AC","ML81561248","1457 Almaden Valley Drive","$1,318,000","40","4","2|1","2,110","8,581 SqFt","San Jose","Res. Single Family","43"
"1","S","ML81521369","50 Oakmore Drive","$1,315,000","118","5","3|0","3,840","17,155 SqFt","San Jose","Res. Single Family","47"
"1","S","ML81545628","5804 Killarney Circle","$1,315,000","0","3","3|0","2,413","5,001 SqFt","San Jose","Res. Single Family","19"
"1","S","ML81522535","1797 Michon Drive","$1,311,000","4","4","2|0","1,844","10,011 SqFt","San Jose","Res. Single Family","47"
