prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,1951,Auseon Ave,Oakland,CA,94621,0,,3,2.0,1666,4017,1922,37.755293,-122.170334,,,http://www.zillow.com/homedetails/1951-Auseon-Ave-Oakland-CA-94621/24798494_zpid/,http://www.zillow.com/homedetails/1951-Auseon-Ave-Oakland-CA-94621/24798494_zpid/#charts-and-data,http://www.zillow.com/homes/24798494_zpid/,http://www.zillow.com/homes/comps/24798494_zpid/,24798494,355502,04/01/2016,,,0.647100001397,0,385000,12/22/2015,6.0,231
redfin,1949,88th Ave,Oakland,CA,94621,0,,3,1.5,1465,5227,1918,37.754147,-122.169284,,,http://www.zillow.com/homedetails/1949-88th-Ave-Oakland-CA-94621/24798539_zpid/,http://www.zillow.com/homedetails/1949-88th-Ave-Oakland-CA-94621/24798539_zpid/#charts-and-data,http://www.zillow.com/homes/24798539_zpid/,http://www.zillow.com/homes/comps/24798539_zpid/,24798539,294557,04/01/2016,,,0.715138665752,0,255000,05/29/2015,11.0,174
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
416016,214,68040,87480,116640,233972.0,214532.0,190372.0

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,2428,HAVENSCOURT Blvd,Oakland,CA,94605,174,40718358,2,1.0,1005,3920,1920,37.765969,-122.186611,http://www.redfin.com/CA/Oakland/2428-Havenscourt-Blvd-94605/home/592245,,http://www.zillow.com/homedetails/2428-Havenscourt-Blvd-Oakland-CA-94605/24790173_zpid/,http://www.zillow.com/homedetails/2428-Havenscourt-Blvd-Oakland-CA-94605/24790173_zpid/#charts-and-data,http://www.zillow.com/homes/24790173_zpid/,http://www.zillow.com/homes/comps/24790173_zpid/,24790173,299500,04/01/2016,2150,04/05/2016,0,3
redfin,1106,75th Ave,Oakland,CA,94621,0,,2,1.0,892,3800,1920,37.755828,-122.189271,,,http://www.zillow.com/homedetails/1106-75th-Ave-Oakland-CA-94621/24796054_zpid/,http://www.zillow.com/homedetails/1106-75th-Ave-Oakland-CA-94621/24796054_zpid/#charts-and-data,http://www.zillow.com/homes/24796054_zpid/,http://www.zillow.com/homes/comps/24796054_zpid/,24796054,254824,04/01/2016,,,0.715580583906,0,170000,01/25/2016,10.0,190
redfin,1245,80th Ave,Oakland,CA,94621,0,,2,1.0,912,6000,1927,37.755334,-122.184366,,,http://www.zillow.com/homedetails/1245-80th-Ave-Oakland-CA-94621/24796631_zpid/,http://www.zillow.com/homedetails/1245-80th-Ave-Oakland-CA-94621/24796631_zpid/#charts-and-data,http://www.zillow.com/homes/24796631_zpid/,http://www.zillow.com/homes/comps/24796631_zpid/,24796631,275265,04/01/2016,,,0.744968453299,0,150000,12/17/2015,12.0,164
redfin,1150,77th Ave,Oakland,CA,94621,0,,2,1.0,1170,1764,1929,37.755266,-122.187613,,,http://www.zillow.com/homedetails/1150-77th-Ave-Oakland-CA-94621/24796680_zpid/,http://www.zillow.com/homedetails/1150-77th-Ave-Oakland-CA-94621/24796680_zpid/#charts-and-data,http://www.zillow.com/homes/24796680_zpid/,http://www.zillow.com/homes/comps/24796680_zpid/,24796680,284979,04/01/2016,,,0.741527117893,0,255000,01/15/2016,6.0,217
