SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,00 FRYE St (Unable to map),Oakland,CA,94602,375000,,,Lincoln Heights,,18199,,1,Garage,299,Active,,,,,375000,,,http://www.redfin.com/CA/Oakland/Frye-St-94602/home/22718024,East Bay Regional Data (EBRD),40700777,THE GRUBB COMPANY,N,Y,,,false
MLS Listing,Vacant Land,6215 Maldon St,Oakland,CA,94621,275000,,,Oakland,,14000,,1,Garage,288,Active,,,,2015-07-13,300000,2007-12-07,550000.0,http://www.redfin.com/CA/Oakland/6215-Maldon-St-94621/home/22806702,East Bay Regional Data (EBRD),40702293,COMMUNITY REALTY PROPERTY MGT.,N,Y,37.760186,-122.2017,false
MLS Listing,Single Family Residential,2636 38TH Ave,Oakland,CA,94619,459950,5,2.0,Oakland,1473,3500,1904,2,Garage,284,Active,,,,2015-07-08,465000,2015-05-13,374000.0,http://www.redfin.com/CA/Oakland/2636-38th-Ave-94619/home/1362820,East Bay Regional Data (EBRD),40703021,Cornerstone Realty,N,Y,37.785625,-122.206394,false
MLS Listing,Vacant Land,Undisclosed,Oakland,CA,94611,99000,,,Oakland,,6877,,1,Garage,283,Active,,,,2016-03-16,120000,,,http://www.redfin.com/CA/Oakland/Undisclosed-address-94611/home/22713250,East Bay Regional Data (EBRD),40703171,Bay Home Investments&Loans,N,Y,,,false
MLS Listing,Multi-Family (2-4 Unit),890 31st St,Oakland,CA,94608,750000,8,4.0,Oakland,2728,6040,1907,8,Garage,280,Active,,,,,750000,2006-05-26,550000.0,http://www.redfin.com/CA/Oakland/890-31st-St-94608/home/996736,East Bay Regional Data (EBRD),40703413,HARBOR BAY REALTY,N,Y,37.821601,-122.275784,false
MLS Listing,Vacant Land,0000 Ruthland Rd (Unable to map),Oakland,CA,94611,218000,,,Oakland,,8000,,1,Garage,280,Active,,,,2015-10-31,238000,,,http://www.redfin.com/CA/Oakland/Ruthland-Rd-94611/home/924030,East Bay Regional Data (EBRD),40703446,ALAIN PINEL REALTORS,N,Y,,,false
MLS Listing,Vacant Land,5100 Thorndale Dr,Oakland,CA,94611,3250000,,,Montclair Hills,,97567,,1,Garage,267,Active,,,,2015-11-06,3500000,,,http://www.redfin.com/CA/Oakland/5100-Thorndale-Dr-94611/home/87704987,East Bay Regional Data (EBRD),40705350,COLDWELL BANKER RESIDENTIAL,N,Y,37.8482083,-122.2038573,false
MLS Listing,Vacant Land,5917 Bromley Ave,Oakland,CA,94621,399000,,,Oakland,,18750,,1,Garage,262,Active,,,,,399000,2004-10-22,2000000.0,http://www.redfin.com/CA/Oakland/5917-Bromley-Ave-94621/home/2017557,East Bay Regional Data (EBRD),40705802,Pacific Realty Partners,N,Y,37.766632,-122.196305,false
MLS Listing,Vacant Land,2021 Sonoma Way,OAKLAND,CA,94601,100000,,,OAKLAND,,1625,,0,,259,Active,,,,Sign in to see,,2001-12-14,10000.0,http://www.redfin.com/CA/Oakland/2021-Sonoma-Way-94606/home/22715958,MLSListings Inc. (MLSLI),ML81483767,Realty World Golden Hills,N,Y,37.789194,-122.236018,false
MLS Listing,Single Family Residential,2020 41ST Ave,Oakland,CA,94601,500000,3,1.5,Oakland,1710,4800,1919,1,Garage,251,Active,,,,,488888,1979-05-23,57500.0,http://www.redfin.com/CA/Oakland/2020-41st-Ave-94601/home/550882,East Bay Regional Data (EBRD),40707462,Century 21 M & M Assoc,N,Y,37.777767,-122.211611,false
MLS Listing,Single Family Residential,10 Maggiora Ct,Oakland,CA,94605,585000,3,2.0,Oakland Hills,2110,7695,1959,2,Garage,244,Active,,,,,549000,,,http://www.redfin.com/CA/Oakland/10-Maggior-Ct-94605/home/601629,East Bay Regional Data (EBRD),40708551,COLDWELL BANKER RESIDENTIAL,N,Y,37.747775,-122.137937,true
