prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
256608,243,36960,47520,63360,150496.0,139936.0,124096.0

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,5070,COCHRANE Ave,Oakland,CA,94618,179,40717844,4,4.0,3532,6000,1993,37.839185,-122.224882,http://www.redfin.com/CA/Oakland/5070-Cochrane-Ave-94618/home/2040714,,http://www.zillow.com/homedetails/5070-Cochrane-Ave-Oakland-CA-94618/24812358_zpid/,http://www.zillow.com/homedetails/5070-Cochrane-Ave-Oakland-CA-94618/24812358_zpid/#charts-and-data,http://www.zillow.com/homes/24812358_zpid/,http://www.zillow.com/homes/comps/24812358_zpid/,24812358,1755489,04/01/2016,6150,04/05/2016,0,3
redfin,6242,Buena Vista Ave,Oakland,CA,94618,0,,4,3.5,3785,3990,2001,37.843165,-122.230711,,,http://www.zillow.com/homedetails/6242-Buena-Vista-Ave-Oakland-CA-94618/24811362_zpid/,http://www.zillow.com/homedetails/6242-Buena-Vista-Ave-Oakland-CA-94618/24811362_zpid/#charts-and-data,http://www.zillow.com/homes/24811362_zpid/,http://www.zillow.com/homes/comps/24811362_zpid/,24811362,2156635,04/01/2016,,,0.420449323569,0,2095000,11/03/2015,5.0,553
redfin,142,Sonia St,Oakland,CA,94618,0,,3,3.0,3016,4500,1936,37.837205,-122.228381,,,http://www.zillow.com/homedetails/142-Sonia-St-Oakland-CA-94618/24812512_zpid/,http://www.zillow.com/homedetails/142-Sonia-St-Oakland-CA-94618/24812512_zpid/#charts-and-data,http://www.zillow.com/homes/24812512_zpid/,http://www.zillow.com/homes/comps/24812512_zpid/,24812512,1581683,04/01/2016,,,0.234879754416,0,1400000,04/20/2015,6.0,464
redfin,5383,Hilltop Cres,Oakland,CA,94618,0,,3,3.5,3100,12921,1941,37.833213,-122.227121,,,http://www.zillow.com/homedetails/5383-Hilltop-Cres-Oakland-CA-94618/24812831_zpid/,http://www.zillow.com/homedetails/5383-Hilltop-Cres-Oakland-CA-94618/24812831_zpid/#charts-and-data,http://www.zillow.com/homes/24812831_zpid/,http://www.zillow.com/homes/comps/24812831_zpid/,24812831,1662273,04/01/2016,,,0.430332634773,0,2220000,04/28/2015,7.0,716
redfin,709,Caldwell Rd,Oakland,CA,94611,0,,4,3.0,3013,7700,1997,37.842331,-122.224238,,,http://www.zillow.com/homedetails/709-Caldwell-Rd-Oakland-CA-94611/24818034_zpid/,http://www.zillow.com/homedetails/709-Caldwell-Rd-Oakland-CA-94611/24818034_zpid/#charts-and-data,http://www.zillow.com/homes/24818034_zpid/,http://www.zillow.com/homes/comps/24818034_zpid/,24818034,1447982,04/01/2016,,,0.220189156147,0,1400000,05/19/2015,5.0,464
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
1939068,549,123620,158940,211920,1300681.0,1265361.0,1212381.0

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,6228,RIDGEMONT Dr,Oakland,CA,94619,169,40718928,4,3.0,2509,8102,1987,37.783509,-122.166196,http://www.redfin.com/CA/Oakland/6228-Ridgemont-Dr-94619/home/910044,,http://www.zillow.com/homedetails/6228-Ridgemont-Dr-Oakland-CA-94619/24787235_zpid/,http://www.zillow.com/homedetails/6228-Ridgemont-Dr-Oakland-CA-94619/24787235_zpid/#charts-and-data,http://www.zillow.com/homes/24787235_zpid/,http://www.zillow.com/homes/comps/24787235_zpid/,24787235,914278,04/01/2016,4200,04/05/2016,0,3
redfin,4191,Mountain View Ave,Oakland,CA,94605,0,,2,2.5,2325,8712,1947,37.78339,-122.173202,,,http://www.zillow.com/homedetails/4191-Mountain-View-Ave-Oakland-CA-94605/24785138_zpid/,http://www.zillow.com/homedetails/4191-Mountain-View-Ave-Oakland-CA-94605/24785138_zpid/#charts-and-data,http://www.zillow.com/homes/24785138_zpid/,http://www.zillow.com/homes/comps/24785138_zpid/,24785138,768227,04/01/2016,,,0.382661915359,0,730000,12/14/2015,6.0,313
redfin,6020,Leona St,Oakland,CA,94605,0,,4,1.5,2138,5220,1936,37.78283,-122.172532,,,http://www.zillow.com/homedetails/6020-Leona-St-Oakland-CA-94605/24786632_zpid/,http://www.zillow.com/homedetails/6020-Leona-St-Oakland-CA-94605/24786632_zpid/#charts-and-data,http://www.zillow.com/homes/24786632_zpid/,http://www.zillow.com/homes/comps/24786632_zpid/,24786632,703711,04/01/2016,,,0.349154668676,0,650000,08/21/2015,8.0,304
